Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473
Texas Health Harris Methodist Hospital Azle,450419,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Chi St Joseph Health Regional Hospital,450011,TX,"$10,302 ","$9,900 ","$10,330 ","$10,129 ","$10,627 ","$10,996 ","$10,079 ","$10,676 ","$10,128 ","$10,259 ","$10,251 "
University Of Texas Medical Branch At Galveston,450018,TX,"$13,812 ","$13,030 ","$13,598 ","$14,017 ","$14,565 ","$14,074 ","$14,036 ","$14,710 ","$13,211 ","$13,390 ","$13,285 "
Baylor University Medical Center,450021,TX,"$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 "
University Medical Center Of El Paso,450024,TX,"$5,642 ","$7,713 ","$8,049 ","$5,932 ","$8,230 ","$7,979 ","$7,539 ","$8,339 ","$7,820 ","$7,926 ","$7,864 "
Vhs Brownsville Hospital Company Llc,450028,TX,"$14,073 ","$13,522 ","$14,091 ","$13,848 ","$14,513 ","$15,001 ","$13,780 ","$14,585 ","$13,851 ","$14,024 ","$14,005 "
Laredo Medical Center,450029,TX,"$7,711 ","$8,365 ","$8,682 ","$7,411 ","$7,313 ","$7,423 ","$6,225 ","$6,871 ","$6,168 ","$6,137 ","$5,887 "
Vhs Harlingen Hospital Company Llc,45003300,TX,"$14,691 ","$14,115 ","$14,710 ","$14,456 ","$15,150 ","$15,659 ","$14,385 ","$15,226 ","$14,459 ","$14,640 ","$14,620 "
Covenant Medical Center,450040,TX,"$18,191 ","$17,535 ","$18,305 ","$17,649 ","$17,496 ","$18,704 ","$17,610 ","$18,128 ","$18,459 ","$18,731 ","$18,572 "
University Of Texas M D Anderson Cancer Center,450076,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Ut Health East Texas Tyler Regional Hospital,450083,TX,"$11,527 ","$11,112 ","$11,600 ","$11,184 ","$11,087 ","$11,853 ","$11,159 ","$11,488 ","$11,426 ","$11,594 ","$11,496 "
Graham Regional Medical Center,450085,TX,"$7,476 ","$7,183 ","$7,485 ","$7,356 ","$7,709 ","$7,968 ","$7,320 ","$7,748 ","$7,358 ","$7,450 ","$7,440 "
Medical City North Hills,450087,TX,"$15,519 ","$14,960 ","$15,617 ","$15,057 ","$14,927 ","$15,957 ","$15,024 ","$15,466 ","$15,383 ","$15,610 ","$15,477 "
North Texas Medical Center,450090,TX,"$6,954 ","$6,683 ","$6,973 ","$6,837 ","$7,174 ","$7,423 ","$6,804 ","$7,207 ","$6,836 ","$6,925 ","$6,920 "
Christus Mother Frances Hospital Tyler,450102,TX,"$8,520 ","$8,186 ","$8,530 ","$8,383 ","$8,786 ","$9,081 ","$8,342 ","$8,830 ","$8,385 ","$8,490 ","$8,479 "
Guadalupe Regional Medical Center,450104,TX,"$6,440 ","$6,189 ","$6,457 ","$6,331 ","$6,643 ","$6,873 ","$6,300 ","$6,673 ","$6,331 ","$6,412 ","$6,408 "
Connally Memorial Medical Center,450108,TX,"$11,707 ","$11,318 ","$11,859 ","$11,826 ","$11,768 ","$12,347 ","$10,516 ","$12,058 ","$11,128 ","$10,892 ","$10,535 "
Midland Memorial Hospital,450133,TX,"$5,078 ","$7,357 ","$9,393 ","$5,338 ","$7,407 ","$9,311 ","$6,785 ","$9,731 ","$9,126 ","$9,250 ","$9,177 "
Baylor Scott & White All Saints Medical Center - Fort Worth,450137,TX,"$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 "
Texas Health Cleburne,450148,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Adventhealth Central Texas,450152,TX,"$11,404 ","$10,758 ","$11,227 ","$11,574 ","$11,518 ","$11,129 ","$11,099 ","$11,631 ","$10,908 ","$11,056 ","$10,969 "
Grace Surgical Hospital,450162,TX,"$18,002 ","$17,353 ","$18,115 ","$17,466 ","$17,315 ","$18,510 ","$17,427 ","$17,940 ","$18,006 ","$18,272 ","$18,116 "
Ut Health East Texas Jacksonville Hospital,450194,TX,"$17,441 ","$16,812 ","$17,551 ","$16,922 ","$16,775 ","$17,933 ","$16,884 ","$17,381 ","$17,287 ","$17,542 ","$17,393 "
Medical City Weatherford,450203,TX,"$14,637 ","$14,109 ","$14,729 ","$14,201 ","$14,078 ","$15,050 ","$14,169 ","$14,587 ","$14,508 ","$14,722 ","$14,597 "
Ut Health East Texas Carthage Hospital,450210,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Hca Houston Healthcare Conroe,450222,TX,"$13,842 ","$13,299 ","$13,859 ","$13,620 ","$14,274 ","$14,754 ","$13,554 ","$22,084 ","$13,624 ","$13,794 ","$13,775 "
Memorial Hospital,450235,TX,"$16,367 ","$15,729 ","$16,411 ","$16,092 ","$16,884 ","$17,470 ","$16,013 ","$16,961 ","$16,090 ","$16,298 ","$16,286 "
Christus Mother Frances Hospital-sulphur Springs,450236,TX,"$8,194 ","$7,873 ","$8,204 ","$8,063 ","$8,450 ","$8,734 ","$8,024 ","$8,492 ","$8,065 ","$8,166 ","$8,155 "
Jack County Hospital District,450241,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Texas Health Kaufman,450292,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Baylor Scott & White Medical Center - Waxahachie,450372,TX,"$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 "
Ut Health East Texas Athens Hospital,450389,TX,"$16,246 ","$15,660 ","$16,348 ","$15,762 ","$15,625 ","$16,704 ","$15,727 ","$16,190 ","$16,103 ","$16,340 ","$16,201 "
Chi St. Luke's Memorial Livingston,450395,TX,"$9,763 ","$9,382 ","$9,789 ","$9,598 ","$10,071 ","$10,420 ","$9,551 ","$10,117 ","$9,597 ","$9,721 ","$9,714 "
Baylor Scott & White Medical Center - Uptown,450422,TX,"$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 "
Houston Methodist Baytown Hospital,450424,TX,"$16,929 ","$16,268 ","$16,974 ","$16,644 ","$17,463 ","$18,069 ","$16,562 ","$17,543 ","$16,642 ","$16,857 ","$16,845 "
Tyler County Hospital District,450460,TX,"$7,215 ","$6,975 ","$7,308 ","$7,288 ","$7,252 ","$7,609 ","$6,481 ","$7,431 ","$6,858 ","$6,712 ","$6,492 "
Henderson Hospital Llc,450475,TX,"$16,890 ","$16,281 ","$16,996 ","$16,387 ","$16,245 ","$17,367 ","$16,351 ","$16,832 ","$16,742 ","$16,988 ","$16,844 "
Woodland Heights Medical Center,450484,TX,"$6,443 ","$6,294 ","$6,357 ","$6,844 ","$6,452 ","$6,882 ","$5,518 ","$5,916 ","$5,038 ","$4,844 ","$4,805 "
Covenant Hospital Plainview,450539,TX,"$15,815 ","$15,244 ","$15,914 ","$15,344 ","$15,211 ","$16,261 ","$15,310 ","$15,760 ","$15,475 ","$15,703 ","$15,570 "
Shannon Medical Center,450571,TX,"$11,564 ","$11,113 ","$11,595 ","$11,369 ","$11,929 ","$12,343 ","$11,313 ","$11,983 ","$11,368 ","$11,515 ","$11,507 "
Hemphill County Hospital,450578,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Hendrick Medical Center Brownwood,450587,TX,"$6,549 ","$6,121 ","$6,348 ","$6,015 ","$6,180 ","$6,538 ","$4,936 ","$5,813 ","$4,541 ","$4,622 ","$4,687 "
Dewitt Medical District,450597,TX,"$16,056 ","$15,522 ","$16,265 ","$16,219 ","$16,139 ","$16,934 ","$14,423 ","$16,537 ","$15,262 ","$14,938 ","$14,448 "
Hill Country Memorial Hospital,450604,TX,"$9,225 ","$10,007 ","$10,386 ","$8,866 ","$8,749 ","$8,881 ","$7,447 ","$8,220 ","$7,379 ","$7,342 ","$7,043 "
Medical City Denton,450634,TX,"$14,960 ","$14,421 ","$15,055 ","$14,515 ","$14,389 ","$15,383 ","$14,483 ","$14,909 ","$14,829 ","$15,047 ","$14,919 "
Doctors Hospital Of Laredo,450643,TX,"$9,383 ","$8,852 ","$9,238 ","$9,522 ","$9,476 ","$9,157 ","$9,132 ","$9,570 ","$8,975 ","$9,097 ","$9,025 "
Starr County Memorial Hospital,450654,TX,"$8,891 ","$8,544 ","$8,915 ","$8,742 ","$9,172 ","$9,490 ","$8,699 ","$9,214 ","$8,741 ","$8,854 ","$8,847 "
Nacogdoches Medical Center,450656,TX,"$8,224 ","$7,902 ","$8,235 ","$8,093 ","$8,481 ","$8,766 ","$8,053 ","$8,524 ","$8,095 ","$8,196 ","$8,185 "
Hca Houston Healthcare Medical Center,450659,TX,"$13,637 ","$13,102 ","$13,654 ","$13,418 ","$14,063 ","$14,535 ","$13,353 ","$22,515 ","$13,422 ","$13,589 ","$13,571 "
Valley Regional Medical Center,450662,TX,"$17,727 ","$17,032 ","$17,749 ","$17,443 ","$18,281 ","$18,895 ","$17,358 ","$18,372 ","$17,447 ","$17,666 ","$17,642 "
The Woman's Hospital Of Texas,450674,TX,"$12,865 ","$12,361 ","$12,881 ","$12,659 ","$13,267 ","$13,713 ","$12,597 ","$22,084 ","$12,662 ","$12,821 ","$12,803 "
Texas Health Huguley Hospital Fort Worth South,450677,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
White Rock Medical Center,450678,TX,"$12,288 ","$11,879 ","$12,448 ","$12,412 ","$12,352 ","$12,960 ","$11,038 ","$12,656 ","$11,680 ","$11,433 ","$11,057 "
University Medical Center,450686,TX,"$9,057 ","$8,704 ","$9,081 ","$8,905 ","$9,343 ","$9,667 ","$8,861 ","$9,386 ","$8,904 ","$9,019 ","$9,012 "
Longview Regional Medical Center,450702,TX,"$5,731 ","$5,356 ","$5,555 ","$5,263 ","$5,408 ","$5,721 ","$4,319 ","$5,087 ","$3,973 ","$4,044 ","$4,102 "
Houston Methodist Clear Lake Hospital,450709,TX,"$14,879 ","$14,298 ","$14,918 ","$14,628 ","$15,348 ","$15,880 ","$14,556 ","$15,418 ","$14,626 ","$14,816 ","$14,805 "
Carrollton Regional Medical Center,450730,TX,"$18,010 ","$16,989 ","$17,730 ","$18,277 ","$18,188 ","$17,249 ","$17,527 ","$18,368 ","$17,225 ","$17,459 ","$17,322 "
Baylor Scott & White Medical Center - Lake Pointe,450742,TX,"$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 "
Texas Health Denton,450743,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Tops Surgical Specialty Hospital,450774,TX,"$18,785 ","$18,048 ","$18,808 ","$18,484 ","$19,371 ","$20,023 ","$18,393 ","$19,468 ","$18,488 ","$18,720 ","$18,694 "
Texas Health Southwest Fort Worth,450779,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Texas Orthopedic Hospital,450804,TX,"$9,227 ","$8,865 ","$9,238 ","$9,079 ","$9,515 ","$9,835 ","$9,035 ","$19,121 ","$9,081 ","$9,195 ","$9,183 "
Northwest Hills Surgical Hospital,450808,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Medical City Las Colinas,450822,TX,"$14,707 ","$14,177 ","$14,800 ","$14,269 ","$14,146 ","$15,122 ","$14,238 ","$14,657 ","$14,578 ","$14,793 ","$14,667 "
Cornerstone Regional Hospital,450825,TX,"$4,995 ","$4,712 ","$4,917 ","$5,069 ","$5,044 ","$4,874 ","$4,861 ","$5,094 ","$4,777 ","$4,842 ","$4,804 "
Kell West Regional Hospital Llc,450827,TX,"$4,413 ","$4,254 ","$4,441 ","$4,282 ","$4,245 ","$4,538 ","$4,272 ","$4,398 ","$4,375 ","$4,439 ","$4,401 "
"Surgery Specialty Hospitals Of America, S.e. Houston",450831,TX,"$7,485 ","$7,236 ","$7,582 ","$7,560 ","$7,523 ","$7,894 ","$6,723 ","$7,709 ","$7,114 ","$6,964 ","$6,735 "
Ennis Regional Medical Center,450833,TX,"$8,187 ","$7,996 ","$8,077 ","$8,695 ","$8,198 ","$8,744 ","$7,010 ","$7,517 ","$6,401 ","$6,154 ","$6,105 "
The Physicians Centre Hospital,450834,TX,"$5,642 ","$8,175 ","$9,200 ","$5,932 ","$8,230 ","$9,401 ","$7,539 ","$9,112 ","$9,062 ","$9,196 ","$9,118 "
Texas Health Presbyterian Hospital Allen,450840,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Baylor Scott & White Heart And Vascular Hospital - Dallas,450851,TX,"$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 "
Baylor Scott & White Medical Center - Frisco,450853,TX,"$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 "
South Texas Spine & Surgical Hospital,450856,TX,"$12,805 ","$12,303 ","$12,821 ","$12,600 ","$13,205 ","$13,649 ","$12,538 ","$13,271 ","$12,603 ","$12,761 ","$12,743 "
Memorial Hermann Surgical Hospital First Colony,450860,TX,"$9,308 ","$8,943 ","$9,319 ","$9,159 ","$9,598 ","$9,921 ","$9,114 ","$9,646 ","$9,161 ","$9,276 ","$9,263 "
Baylor Scott & White Texas Spine & Joint Hospital,450864,TX,"$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 ","$10,062 "
Arise Austin Medical Center,450871,TX,"$6,138 ","$12,045 ","$13,564 ","$11,977 ","$11,202 ","$19,557 ","$11,918 ","$15,267 ","$6,034 ","$6,112 ","$6,107 "
"Usmd Hospital At Arlington, L.p.",450872,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Baylor Scott & White Surgical Hospital - Las Colinas,450874,TX,"$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 "
"Physicians Surgical Hospitals, Llc",450875,TX,"$11,851 ","$11,389 ","$11,883 ","$11,652 ","$12,225 ","$12,649 ","$11,594 ","$12,281 ","$11,650 ","$11,801 ","$11,793 "
Lubbock Heart Hospital,450876,TX,"$12,598 ","$12,104 ","$12,614 ","$12,396 ","$12,991 ","$13,428 ","$12,335 ","$13,056 ","$12,399 ","$12,554 ","$12,537 "
Baylor Scott & White Surgical Hospital - Fort Worth,450880,TX,"$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 "
Baylor Scott & White Medical Center - Trophy Club,450883,TX,"$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 ","$11,861 "
Baylor Scott & White Medical Center - Centennial,450885,TX,"$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 ","$10,941 "
Texas Health Harris Methodist Hospital Southlake,450888,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Texas Institute For Surgery At Presbyterian Hospital Dallas,450889,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Baylor Scott & White Medical Center - Plano,450890,TX,"$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 ","$11,762 "
Texas Health Center For Diagnostics & Surgery Plano,450891,TX,"$35,111 ","$33,735 ","$35,155 ","$34,548 ","$36,207 ","$37,425 ",$0 ,"$36,388 ","$34,557 ","$34,989 ","$34,942 "
Thhbp Management Company Llc,450893,TX,"$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 ","$12,230 "
Parmer county community hospital,451300,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Muenster memorial hospital,451335,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Throckmorton County Memorial Hosp,451339,TX,"$4,287 ","$4,144 ","$4,343 ","$4,330 ","$4,309 ","$4,521 ","$3,851 ","$4,415 ","$4,075 ","$3,988 ","$3,857 "
Golden plains community hospital,451369,TX,"$6,237 ","$5,992 ","$6,244 ","$6,137 ","$6,431 ","$6,648 ","$6,107 ","$6,464 ","$6,138 ","$6,215 ","$6,207 "
Texas Health Specialty Hospital Forth Worth,452018,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Select Specialty Hospital- Dallas,452022,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Kindred Hospital Tarrant County,452028,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Continuecare Hospital At Hendrick Medical Center,452029,TX,"$5,642 ","$8,175 ","$10,856 ","$5,932 ","$8,230 ","$11,035 ","$7,539 ","$13,669 ","$10,165 ","$16,918 ","$18,958 "
Cornerstone Specialty Hospitals Clear Lake,452032,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Texas Neurorehab Center,452038,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Carrus Specialty Hospital,452041,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Christus Dubuis Hospital Of Beaumont,452042,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Lifecare Hospitals Of North Texas,452044,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Cornerstone Specialty Hospitals Houston Medical Center,452046,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Ut Health East Texas Long Term Acute Care,452051,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Pam Specialty Hospital Of Victoria South,452056,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
"Nexus Specialty Hospital - The Woodlands, Ltd.",452057,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Pam Specialty Hospital Of San Antonio Medical Center,452059,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Pam Specialty Hospital Of Texarkana North,452061,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Kpc Promise Hospital Of Dallas Llc,452067,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Kpc Promise Hospital Of Wichita Falls Llc,452068,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Kindred Hospital - San Antonio Central,452073,TX,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
