Page,Table,Row,Extracted_Row
3,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
3,1,2,Providence Alaska Medical Center | 3200 Providence Dr | Anchorage | AK | 99508 | BDC | No | Hospital
3,1,3,Athens Limestone Hospital | 700 W Market St | Athens | AL | 35611 | BDC+ | No | Hospital
3,1,4,Jack Hughston Memorial Hospital | 4401 River Chase Dr | Phenix City | AL | 36867 | BDC+ | Yes | Hospital
3,1,5,Springhill Memorial Hospital | 3719 Dauphin St | Mobile | AL | 36608 | BDC+ | Yes | Hospital
3,1,6,Uab Hospital | 619 19Th St S | Birmingham | AL | 35249 | BDC | No | Hospital
3,1,7,Uab St Vincents Birmingham | 810 Saint Vincents Dr | Birmingham | AL | 35205 | BDC+ | No | Hospital
3,1,8,USA Providence Hospital | 6801 Airport Blvd | Mobile | AL | 36608 | BDC+ | No | Hospital
3,1,9,Arkansas Surgical Hospital LLC | 5201 Northshore Dr | North Little Rock | AR | 72118 | BDC+ | Yes | Hospital
3,1,10,Baptist Health Medical Center Lr | 9601 Baptist Health Dr | Little Rock | AR | 72205 | BDC+ | No | Hospital
3,1,11,Baptist Health Medical Center North Little Rock | 3333 Springhill Dr | North Little Rock | AR | 72117 | BDC+ | No | Hospital
3,1,12,University of Arkansas for Medical Sciences | 4301 W Markham St | Little Rock | AR | 72205 | BDC | Yes | Hospital
3,1,13,Washington Regional Medical Center | 3215 N Northhills Blvd | Fayetteville | AR | 72703 | BDC+ | Yes | Hospital
3,1,14,CHANDLER REGIONAL MEDICAL CENTER | 1955 W Frye Rd | Chandler | AZ | 85224-6282 | BDC | No | Hospital
3,1,15,HONORHEALTH DEER VALLEY MEDICAL CENTER | 19829 N 27th Ave | Phoenix | AZ | 85027-4001 | BDC | No | Hospital
3,1,16,HONORHEALTH JOHN C LINCOLN MEDICAL CENTER | 250 E Dunlap Ave | Phoenix | AZ | 85020-2825 | BDC | Yes | Hospital
3,1,17,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER | 7400 E Osborn Rd | Scottsdale | AZ | 85251-6432 | BDC | Yes | Hospital
3,1,18,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER | 9003 E Shea Blvd | Scottsdale | AZ | 85260-6709 | BDC | No | Hospital
3,1,19,HONORHEALTH SCOTTSDALE THOMPSON PEAK MEDICAL CENTER | 7400 E Thompson Peak Pkwy | Scottsdale | AZ | 85255-4109 | BDC | Yes | Hospital
3,2,1,DESIGNATION
3,2,2,TYPE
3,3,1,CONSUMER
3,3,2,TRANSPARENCY1
3,4,1,CENTER
3,4,2,TYPE2
4,1,1,PROVIDER NAME | ADDRESS | CITY | STATE | ZIP CODE | DESIGNATION TYPE | CONSUMER TRANSPARENCY1 | CENTER TYPE2
4,1,2,Tucson Medical Center | 5301 E Grant Rd | Tucson | AZ | 85712 | BDC+ | No | Hospital
4,1,3,Adventist Health Bakersfield | 2615 CHESTER AVE | BAKERSFIELD | CA | 93301 | BDC+ | Yes | Hospital
4,1,4,Adventist Health Sierra Vista | 1010 Murray Ave | San Luis Obispo | CA | 93405 | BDC | No | Hospital
4,1,5,Adventist Health Sierra Vista | 1010 Murray Ave | San Luis Obispo | CA | 93405 | BDC+ | No | Hospital
4,1,6,Adventist Health Sonora | 1000 Greenley Rd | Sonora | CA | 95370-5200 | BDC+ | No | Hospital
