BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Providence Alaska Medical Center,AK,BDC,3,Providence Alaska Medical Center | 3200 Providence Dr | Anchorage | AK | 99508 | BDC | No | Hospital,PROVIDENCE ALASKA MED CTR
Athens Limestone Hospital,AL,BDC+,3,Athens Limestone Hospital | 700 W Market St | Athens | AL | 35611 | BDC+ | No | Hospital,ATHENS LIMESTONE HOSPITAL
Jack Hughston Memorial Hospital,AL,BDC+,3,Jack Hughston Memorial Hospital | 4401 River Chase Dr | Phenix City | AL | 36867 | BDC+ | Yes | Hospital,JACK HUGHSTON MEMORIAL HOSPITAL
Springhill Memorial Hospital,AL,BDC+,3,Springhill Memorial Hospital | 3719 Dauphin St | Mobile | AL | 36608 | BDC+ | Yes | Hospital,SPRINGHILL MEMORIAL HOSPITAL
Uab Hospital,AL,BDC,3,Uab Hospital | 619 19Th St S | Birmingham | AL | 35249 | BDC | No | Hospital,UAB HOSPITAL
Uab St Vincents Birmingham,AL,BDC+,3,Uab St Vincents Birmingham | 810 Saint Vincents Dr | Birmingham | AL | 35205 | BDC+ | No | Hospital,UAB ST VINCENTS BIRMINGHAM
USA Providence Hospital,AL,BDC+,3,USA Providence Hospital | 6801 Airport Blvd | Mobile | AL | 36608 | BDC+ | No | Hospital,USA PROVIDENCE HOSPITAL
Arkansas Surgical Hospital LLC,AR,BDC+,3,Arkansas Surgical Hospital LLC | 5201 Northshore Dr | North Little Rock | AR | 72118 | BDC+ | Yes | Hospital,ARKANSAS SURGICAL HOSPITAL LLC
Baptist Health Medical Center Lr,AR,BDC+,3,Baptist Health Medical Center Lr | 9601 Baptist Health Dr | Little Rock | AR | 72205 | BDC+ | No | Hospital,BAPTIST HEALTH MED CTR LR
Baptist Health Medical Center North Little Rock,AR,BDC+,3,Baptist Health Medical Center North Little Rock | 3333 Springhill Dr | North Little Rock | AR | 72117 | BDC+ | No | Hospital,BAPTIST HEALTH MED CTR NORTH LITTLE ROCK
University of Arkansas for Medical Sciences,AR,BDC,3,University of Arkansas for Medical Sciences | 4301 W Markham St | Little Rock | AR | 72205 | BDC | Yes | Hospital,UNIVERSITY ARKANSAS FOR MEDICAL SCIENCES
Washington Regional Medical Center,AR,BDC+,3,Washington Regional Medical Center | 3215 N Northhills Blvd | Fayetteville | AR | 72703 | BDC+ | Yes | Hospital,WASHINGTON REGIONAL MED CTR
