Hospital,CCN,State,Suggested_BCBS_Hospital,Suggested_Designation,Match_Score,Decision
Texas Health Harris Methodist Hospital Azle,450419,TX,Texas Health Hospital Frisco,BDC,85.7,
University Medical Center Of El Paso,450024,TX,Baylor University Medical Center,BDC,83.7,
Ut Health East Texas Tyler Regional Hospital,450083,TX,Texas Health Hospital Frisco,BDC,85.7,
Grace Surgical Hospital,450162,TX,Bs&W Surgical Hospital Fort Worth,BDC,85.0,
Ut Health East Texas Jacksonville Hospital,450194,TX,Texas Health Hospital Frisco,BDC,85.7,
Ut Health East Texas Carthage Hospital,450210,TX,Texas Health Hospital Frisco,BDC,85.7,
Christus Mother Frances Hospital-sulphur Springs,450236,TX,Christus Mother Frances Tyler,BDC+,88.5,
Ut Health East Texas Athens Hospital,450389,TX,Texas Health Hospital Frisco,BDC,85.7,
Baylor Scott & White Medical Center - Uptown,450422,TX,B S & W MEDICAL CENTER UPTOWN,BDC+,85.7,
Hill Country Memorial Hospital,450604,TX,Midland Memorial Hospital,BDC,81.0,
Starr County Memorial Hospital,450654,TX,Midland Memorial Hospital,BDC,81.0,
Texas Health Huguley Hospital Fort Worth South,450677,TX,Texas Health Hospital Frisco,BDC,85.7,
White Rock Medical Center,450678,TX,BS&W MEDICAL CENTER ROUND ROCK,BDC+,80.0,
Medical City Las Colinas,450822,TX,Medical City Dallas,BDC,79.1,
Texas Health Presbyterian Hospital Allen,450840,TX,Texas Health Hospital Frisco,BDC,85.7,
Baylor Scott & White Medical Center - Frisco,450853,TX,BS&W MEDICAL CENTER FRISCO,BDC,87.8,
Texas Institute For Surgery At Presbyterian Hospital Dallas,450889,TX,METHODIST HOSPITAL FOR SURGERY,BDC,80.0,
Muenster memorial hospital,451335,TX,Midland Memorial Hospital,BDC,81.0,
Texas Health Specialty Hospital Forth Worth,452018,TX,Texas Health Hospital Frisco,BDC,85.7,
Tirr Memorial Hermann,453025,TX,MEMORIAL HERMANN SW HOSPITAL,BDC,86.5,
"Christus Trinity Mother Frances Rehabilitation Hospital, A Partner Of",453056,TX,Christus Mother Frances Tyler,BDC+,88.5,
Encompass Health Rehabilitation Hospital Of Midland Odessa,453057,TX,Midland Memorial Hospital,BDC,78.0,
Northeast Baptist Hospital,045058,TX,NORTH CENTRAL BAPTIST HOSPITAL,BDC,78.6,
Baptist Beaumont Hospital,045346,TX,NORTH CENTRAL BAPTIST HOSPITAL,BDC,78.0,
Texas Health Springwood Behavioral Health Hospital,045639,TX,Texas Health Hospital Frisco,BDC,85.7,
Texas Health Presbyterian Hospital Plano,045771,TX,Texas Health Hospital Frisco,BDC,85.7,
Huntsville Memorial Hospital,045347,TX,Midland Memorial Hospital,BDC,81.0,
Texas Health Presbyterian Hospital Dallas,045462,TX,Texas Health Hospital Frisco,BDC,85.7,
Medical City Plano,045651,TX,Medical City Dallas,BDC,81.1,
St. Luke's The Woodlands Hospital,045862,TX,Chi St Lukes The Woodlands Hsptl,BDC,85.7,
Rolling Plains Memorial Hospital,045055,TX,Midland Memorial Hospital,BDC,81.0,
Dallas Medical Center Llc,045379,TX,Medical City Dallas,BDC,78.8,
Eastland Memorial Hospital,045411,TX,Midland Memorial Hospital,BDC,86.3,
Stephens Memorial Hospital,045498,TX,MEMORIAL HERMANN SW HOSPITAL,BDC,81.5,
El Campo Memorial Hospital,045694,TX,Midland Memorial Hospital,BDC,81.0,
Ut Health East Texas Rehabilitation Hospital,045072,TX,Texas Health Hospital Frisco,BDC,85.7,
Baylor Scott & White Medical Center - Round Rock,670034,TX,BS&W MEDICAL CENTER ROUND ROCK,BDC+,89.8,
Texas Health Hospital Rockwall,670044,TX,Texas Health Hospital Frisco,BDC,85.7,
Baylor Scott & White Orthopedic And Spine Hospital,670067,TX,TEXAS ORTHOPEDIC HOSPITAL,BDC,86.4,
Texas Health Presbyterian Hospital Flower Mound,670068,TX,Texas Health Hospital Frisco,BDC,85.7,
Methodist Mckinney Hospital,670069,TX,HOUSTON METHODIST HOSPITAL,BDC,81.8,
Texas Health Heart & Vascular Hospital,670071,TX,Texas Health Hospital Frisco,BDC,85.7,
Baylor Scott & White Medical Center - Mckinney,670082,TX,BS&W MEDICAL CENTER MCKINNEY,BDC,88.9,
Resolute Baptist Hospital,670098,TX,NORTH CENTRAL BAPTIST HOSPITAL,BDC,78.0,
Medical City Alliance,670103,TX,Medical City Dallas,BDC,85.0,
Legent Orthopedic + Spine,670112,TX,LEGENT ORTHOPEDIC HOSPITAL,BDC,85.7,
Methodist Southlake Medical Center,670132,TX,Methodist Southlake Hospital,BDC,82.6,
Altus Houston Hospital Lp,670135,TX,HOUSTON METHODIST HOSPITAL,BDC,78.0,
Ascension Seton Bastrop,670143,TX,Ascension Seton Hays,BDC,85.7,
Townsen Memorial Hospital,670266,TX,MEMORIAL HERMANN SW HOSPITAL,BDC,81.0,
North Houston Surgical Hospital Llc,670280,TX,LEGENT N HOUSTON SURGICAL HOSP,BDC,78.7,
Texas Health Hospital Mansfield,670309,TX,Texas Health Hospital Frisco,BDC,85.7,
Methodist Rehabilitation Hospital,673031,TX,HOUSTON METHODIST HOSPITAL,BDC,81.8,
Methodist Hospital| Stone Oak Rehab,067055,TX,HOUSTON METHODIST HOSPITAL,BDC,81.8,
