Hospital,CCN,State,453,454,455,456,457,458,459,460,471,472,473,Hospital_Normalized,Average_Base_Rate,Positive_DRG_Count,CMS_Hospital_Name,CMS_State,CMS_City,CMS_Star_Rating,CMS_Normalized_Name,CMS_Match_Method,CMS_Name_Match_Score,Blue_Distinction,Blue_Distinction_Type,BCBS_Matched_Name,BCBS_Match_Score,BCBS_Match_Method
Texas Health Harris Methodist Hospital Azle,450419,TX,35111,33735,35155,34548,36207,37425,0,36388,34557,34989,34942,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,32096.090909090908,10,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,TX,AZLE,4.0,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,CCN,,Review,BDC,Texas Health Hospital Frisco,85.7,Fuzzy name
Chi St Joseph Health Regional Hospital,450011,TX,10302,9900,10330,10129,10627,10996,10079,10676,10128,10259,10251,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,10334.272727272728,11,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,TX,BRYAN,2.0,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,CCN,,No,,Texas Health Hospital Frisco,69.8,Fuzzy name
University Of Texas Medical Branch At Galveston,450018,TX,13812,13030,13598,14017,14565,14074,14036,14710,13211,13390,13285,UNIVERSITY TEXAS MEDICAL BRANCH GALVESTON,13793.454545454546,11,UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,TX,GALVESTON,3.0,UNIVERSITY TEXAS MEDICAL BRANCH GALVESTON,CCN,,No,,Baylor University Medical Center,57.6,Fuzzy name
Baylor University Medical Center,450021,TX,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,11762,BAYLOR UNIVERSITY MED CTR,11762.0,11,BAYLOR UNIVERSITY MEDICAL CENTER,TX,DALLAS,4.0,BAYLOR UNIVERSITY MED CTR,CCN,,Yes,BDC,Baylor University Medical Center,100.0,Exact normalized name
University Medical Center Of El Paso,450024,TX,5642,7713,8049,5932,8230,7979,7539,8339,7820,7926,7864,UNIVERSITY MED CTR EL PASO,7548.454545454545,11,UNIVERSITY MEDICAL CENTER OF EL PASO,TX,EL PASO,3.0,UNIVERSITY MED CTR EL PASO,CCN,,Review,BDC,Baylor University Medical Center,83.7,Fuzzy name
Vhs Brownsville Hospital Company Llc,450028,TX,14073,13522,14091,13848,14513,15001,13780,14585,13851,14024,14005,VHS BROWNSVILLE HOSPITAL COMPANY LLC,14117.545454545454,11,VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE,TX,BROWNSVILLE,3.0,VALLEY BAPTIST MED CTR BROWNSVILLE,CCN,,No,,USMD Hospital at Arlington LP,54.8,Fuzzy name
Laredo Medical Center,450029,TX,7711,8365,8682,7411,7313,7423,6225,6871,6168,6137,5887,LAREDO MED CTR,7108.454545454545,11,LAREDO MEDICAL CENTER,TX,LAREDO,4.0,LAREDO MED CTR,CCN,,No,,Texoma Medical Center,71.4,Fuzzy name
Vhs Harlingen Hospital Company Llc,003300,TX,14691,14115,14710,14456,15150,15659,14385,15226,14459,14640,14620,VHS HARLINGEN HOSPITAL COMPANY LLC,14737.363636363636,11,VHS HARLINGEN HOSPITAL COMPANY LLC,TX,HARLINGEN,2.0,VHS HARLINGEN HOSPITAL COMPANY LLC,Exact/fuzzy hospital name,100.0,No,,USMD Hospital at Arlington LP,66.7,Fuzzy name
Covenant Medical Center,450040,TX,18191,17535,18305,17649,17496,18704,17610,18128,18459,18731,18572,COVENANT MED CTR,18125.454545454544,11,COVENANT MEDICAL CENTER,TX,LUBBOCK,3.0,COVENANT MED CTR,CCN,,No,,Texoma Medical Center,66.7,Fuzzy name
University Of Texas M D Anderson Cancer Center,450076,TX,0,0,0,0,0,0,0,0,0,0,0,UNIVERSITY TEXAS M D ANDERSON CANCER CENTER,0.0,0,UNIVERSITY HEALTH SYSTEM,TX,SAN ANTONIO,3.0,UNIVERSITY,Exact/fuzzy hospital name,100.0,No,,Baylor University Medical Center,61.8,Fuzzy name
